[2018-07-12T16:57:56.479] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:57:56.481] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:58:16.542] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:58:16.545] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:58:35.298] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:58:35.303] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:58:56.947] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:58:56.948] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:59:07.923] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:59:07.924] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:59:45.728] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:59:45.731] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:22:53.276] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:22:53.278] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:23:16.034] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:23:16.037] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:23:36.575] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:23:36.577] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:23:58.735] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:23:58.740] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:25:42.284] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:25:42.286] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:26:01.595] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:26:01.600] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:27:13.300] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:27:13.302] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:32:52.871] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:32:52.876] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:33:19.310] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:33:19.312] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:37:09.477] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:37:09.480] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:37:09.701] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:37:09.703] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T19:37:51.386] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T19:37:51.389] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T20:05:20.830] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T20:05:20.832] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T20:06:45.906] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T20:06:45.907] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T20:08:00.810] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
